"Symbol","Name","Market","Listing","Industry","Sector","Industy_code","Industy_name"
"001040","CJ","KOSPI",True,"지주회사","기타 금융업","64992","지주회사"
"011150","CJ씨푸드","KOSPI",True,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입","기타 식품 제조업","10799","그 외 기타 식료품 제조업"
"012630","HDC","KOSPI",True,"토목공사,건축공사,아파트분양사업,재개발/재건축사업","건물 건설업","4111","주거용 건물 건설업"
"082740","HSD엔진","KOSPI",True,"대형선박용엔진,내연발전엔진","일반 목적용 기계 제조업","29111","내연기관 제조업"
"001390","KG케미칼","KOSPI",True,"콘크리트혼화제, 비료, 친환경농자재, 수처리제","기초 화학물질 제조업","201","기초 화학물질 제조업"
"010060","OCI","KOSPI",True,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매","기초 화학물질 제조업","20129","기타 기초 무기화학 물질 제조업"
"002360","SH에너지화학","KOSPI",True,"합성수지(PS/EPS,ABS수지) 제조","기초 화학물질 제조업","201","기초 화학물질 제조업"
"001740","SK네트웍스","KOSPI",True,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업","기타 전문 도매업","467","기타 전문 도매업"
"011810","STX","KOSPI",True,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매","상품 종합 도매업","46800","상품 종합 도매업"
"071970","STX중공업","KOSPI",True,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)","일반 목적용 기계 제조업","29119","기타 기관 및 터빈 제조업"
"024070","WISCOM","KOSPI",True,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공","플라스틱제품 제조업","22299","그 외 기타 플라스틱 제품 제조업"
"011420","갤럭시아에스엠","KOSPI",True,"스포츠중계권,스포츠마케팅,광고","스포츠 서비스업","911","스포츠 서비스업"
"267290","경동도시가스","KOSPI",True,"도시가스","연료용 가스 제조 및 배관공급업","35200","연료용 가스 제조 및 배관공급업"
"002240","고려제강","KOSPI",True,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매","1차 철강 제조업","2411","제철, 제강 및 합금철 제조업"
"001290","골든브릿지증권","KOSPI",True,"유가증권 매매","금융 지원 서비스업","66121","증권 중개업"
"014530","극동유화","KOSPI",True,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소","석유 정제품 제조업","19221","윤활유 및 그리스 제조업"
"214330","금호에이치티","KOSPI",True,"자동차용 전구 및 LED모듈","자동차 신품 부품 제조업","303","자동차 신품 부품 제조업"
"013700","까뮤이앤씨","KOSPI",True,"토목공사,건축공사/부동산 임대","건물 건설업","41121","사무ㆍ상업용 및 공공기관용 건물 건설업"
"090350","노루페인트","KOSPI",True,"페인트 제조","기타 화학제품 제조업","20411","일반용 도료 및 관련제품 제조업"
"005250","녹십자홀딩스","KOSPI",True,"알부민,유로키나제,간염백신,유행성출혈열백신 제조","회사 본부 및 경영 컨설팅 서비스업","715","회사 본부 및 경영 컨설팅 서비스업"
"004130","대덕GDS","KOSPI",True,"인쇄회로기판 제조,무역대리","전자부품 제조업","2622","인쇄회로기판 및 전자부품 실장기판 제조업"
"004440","대림씨엔에스","KOSPI",True,"PHC파일, 골재, 강교제작","시멘트, 석회, 플라스터 및 그 제품 제조업","23325","콘크리트 관 및 기타 구조용 콘크리트제품 제조업"
"014160","대영포장","KOSPI",True,"골판지원단,골판지상자 제조","골판지, 종이 상자 및 종이용기 제조업","1721","골판지 및 골판지 가공제품 제조업"
"003220","대원제약","KOSPI",True,"의약품(소화제,항생제,호흡기제,해열제,호르몬제) 제조,도매","의약품 제조업","21210","완제 의약품 제조업"
"002880","대유에이텍","KOSPI",True,"자동차부품(자동차용 시트)제조","자동차 신품 부품 제조업","303","자동차 신품 부품 제조업"
"001620","동국실업","KOSPI",True,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대","자동차 신품 부품 제조업","303","자동차 신품 부품 제조업"
"023450","동남합성","KOSPI",True,"계면활성제,정밀화학품 제조,도매/부동산 임대","기초 화학물질 제조업","201","기초 화학물질 제조업"
"004140","동방","KOSPI",True,"육상운송,해상운송,항만화물하역,보관,창고,물류사업","도로 화물 운송업","49301","일반 화물 자동차 운송업"
"000640","동아쏘시오홀딩스","KOSPI",True,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산","기타 금융업","64992","지주회사"
"001520","동양","KOSPI",True,"레미콘/건설공사/산업용 송풍기","시멘트, 석회, 플라스터 및 그 제품 제조업","23322","레미콘 제조업"
"000400","롯데손해보험","KOSPI",True,"손해보험업","보험업","65121","손해보험업"
"023530","롯데쇼핑","KOSPI",True,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래","종합 소매업","47111","백화점"
"071840","롯데하이마트","KOSPI",True,"가전제품,잡화 도소매/부동산 임대","가전제품 및 정보통신장비 소매업","47320","가전제품 소매업"
"204210","모두투어리츠","KOSPI",True,"호텔 부동산 취득, 관리, 개량 및 처분","부동산 임대 및 공급업","681","부동산 임대 및 공급업"
"009200","무림페이퍼","KOSPI",True,"지류,아트지,백상지 제조","펄프, 종이 및 판지 제조업","1712","종이 및 판지 제조업"
"033920","무학","KOSPI",True,"소주","알코올음료 제조업","11122","소주 제조업"
"085620","미래에셋생명","KOSPI",True,"생명보험상품","보험업","65110","생명보험업"
"006400","삼성SDI","KOSPI",True,"칼라브라운관,PDP,평판표시관,모니터,휴대용 디스플레이,폴리머전지(2차전지),초박형브라운관,전계발광소자 제조,판매","일차전지 및 축전지 제조업","28202","축전지 제조업"
"207940","삼성바이오로직스","KOSPI",True,"바이오의약품","기초 의약물질 및 생물학적 제제 제조업","21102","생물학적 제제 제조업"
"068290","삼성출판사","KOSPI",True,"서적 출판,인쇄,소매/부동산 임대","서적, 잡지 및 기타 인쇄물 출판업","5811","서적 출판업"
"029780","삼성카드","KOSPI",True,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매","기타 금융업","64913","신용카드 및 할부 금융업"
"000810","삼성화재해상보험","KOSPI",True,"손해보험의 원수,재보험,운용자산의 투자활동","보험업","65121","손해보험업"
"005680","삼영전자공업","KOSPI",True,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매","전자부품 제조업","26291","전자 축전기 제조업"
"003720","삼영화학공업","KOSPI",True,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조","플라스틱제품 제조업","2221","1차 플라스틱제품 제조업"
"005500","삼진제약","KOSPI",True,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배","의약품 제조업","21210","완제 의약품 제조업"
"007610","선도전기","KOSPI",True,"수배전반,중전기기 제조,도매/전기공사","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","28123","배전반 및 전기 자동제어반 제조업"
"136490","선진","KOSPI",True,"조제동물사료","동물용 사료 및 조제식품 제조업","1080","동물용 사료 및 조제식품 제조업"
"091090","세원셀론텍","KOSPI",True,"화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매","구조용 금속제품, 탱크 및 증기발생기 제조업","251","구조용 금속제품, 탱크 및 증기발생기 제조업"
"067830","세이브존I&C","KOSPI",True,"대형할인점(백화점)/부동산 임대/주차장,문화센터 운영","종합 소매업","47111","백화점"
"019170","신풍제약","KOSPI",True,"의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매","의약품 제조업","21210","완제 의약품 제조업"
"293940","신한알파리츠","KOSPI",True,"비거주 부동산 임대 서비스업","부동산 임대 및 공급업","6811","부동산 임대업"
"055550","신한지주","KOSPI",True,"금융지주회사","기타 금융업","64992","지주회사"
"020560","아시아나항공","KOSPI",True,"항공운송(여객운송,화물운송)/항공기 제조,정비수리","항공 여객 운송업","511","항공 여객 운송업"
"012280","영화금속","KOSPI",True,"자동차부품,건축자재(관이음쇠) 제조,판매","자동차 신품 부품 제조업","303","자동차 신품 부품 제조업"
"105840","우진","KOSPI",True,"원전용계측기","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","27216","산업 처리공정 제어장비 제조업"
"103130","웅진에너지","KOSPI",True,"태양전지원료(잉곳),태양전지용웨이퍼 제조/전기공사/신재생에너지 사업","반도체 제조업","261","반도체 제조업"
"005820","원림","KOSPI",True,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자","편조원단 제조업","13300","편조 원단 제조업"
"008600","윌비스","KOSPI",True,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대","생활용품 도매업","46413","남녀용 겉옷 및 셔츠 도매업"
"033270","유나이티드","KOSPI",True,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조","의약품 제조업","21210","완제 의약품 제조업"
"047400","유니온머티리얼","KOSPI",True,"페라이트,세라믹 제조,도매","내화, 비내화 요업제품 제조업","23222","위생용 및 산업용 도자기 제조업"
"088260","이리츠코크렙","KOSPI",True,"부동산투자회사","부동산 임대 및 공급업","68112","비주거용 건물 임대업"
"023800","인지컨트롤스","KOSPI",True,"자동차부품(터머스위치,터머스탯) 제조","자동차 신품 부품 제조업","303","자동차 신품 부품 제조업"
"249420","일동제약","KOSPI",True,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등","의약품 제조업","21210","완제 의약품 제조업"
"194370","제이에스코퍼레이션","KOSPI",True,"핸드백 및 지갑","가죽, 가방 및 유사제품 제조업","15121","핸드백 및 지갑 제조업"
"025620","제이준코스메틱","KOSPI",True,"화장품 제조 판매","기타 화학제품 제조업","204","기타 화학제품 제조업"
"271980","제일약품","KOSPI",True,"의약품","의약품 제조업","21210","완제 의약품 제조업"
"001560","제일연마","KOSPI",True,"연마석,다이아몬드공구 제조,도소매/주택건설","기타 비금속 광물제품 제조업","23992","연마재 제조업"
"002620","제일파마홀딩스","KOSPI",True,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매","회사 본부 및 경영 컨설팅 서비스업","715","회사 본부 및 경영 컨설팅 서비스업"
"018470","조일알미늄","KOSPI",True,"알루미늄판 제조,도매","1차 비철금속 제조업","24222","알루미늄 압연, 압출 및 연신제품 제조업"
